course_id,title,credits,course_type,description,Prerequisites,OnlyOneOfThese,skills_taught
BUAN 6335,Organizing for Business Analytics Platforms,3,Elective,"The course develops conceptual understanding of platforms for business analytics and key business drivers
that lead to business initiatives. The course examines how decision-makers in key functional areas of an
enterprise rely on data teams, how teams identify and develop analytical and engineering techniques to solve
business problems, and how data analytics platforms are adopted successfully. The course also emphasizes
the development of business cases for strategic analytics initiatives and discusses best practices for
descriptive, predictive, and prescriptive analytics.",None,,"business analytics platforms, business drivers, data-driven decision making, analytical techniques, engineering techniques, solving business problems, data teams collaboration, strategic analytics initiatives, business case development, descriptive analytics, predictive analytics, prescriptive analytics, adoption of analytics platforms, enterprise analytics"
BUAN 6341,Applied Machine Learning ,3,Elective,"This course covers machine learning models for business data including text mining, natural language processing, non-linear regression models, resampling methods and advanced neural networks and artificial intelligence-based models for data-driven analytics. The course will be taught using either R or Python language.",(BUAN 6356 or BUAN 6383 or MIS 6386 or BUAN 6324 or MIS 6324 or OPRE 6399) and (OPRE 6359 or BUAN 6359).,"MIS 6341,OPRE 6343, BUAN 6341","machine learning, applied machine learning, business data analytics, text mining, natural language processing, non linear regression, resampling methods, neural networks, artificial intelligence models, data-driven analytics, r programming, python programming"
BUAN 6342,Applied Natural Language Processing,3,Elective,"This is an advanced course focusing on natural language processing and the utility of textual data to gain
meaningful quantitative and actionable insights about the language (mainly English) using rule-based and
statistical methods and to extract the information for real-world applications. This class will focus both on
modern neural methods for these problems (including architectures such as RNNs, LSTMs,
Transformers) and on classical methods (logistic/linear regression).
",None,,"natural language processing, text analytics, rule-based data analysis, statistical data analysis, machine learning for text, human language understanding, social media text analysis, business text analysis, unstructured data analysis, textual data interpretation, actionable insights extraction"
BUAN 6357,Advanced Business Analytics with R,3,Elective,"This course covers theories and applications of business analytics. The focus is on
extracting business intelligence from internal or external business data for various
applications. Topics include data manipulation, imputation, variable selection, as well as
advanced analytic methods, including (but not limited to) business data analytics,
modeling, customer analytics, web intelligence analytics, business performance analytics,
and decision-making analytics. The emphasis is placed on the 'know-how' -- knowing
how and why to extract and apply business analytics to improve business decisionmaking. Students will also acquire hands-on experience with business analytics software,
specifically R",(BUAN 6356 or MIS 6356 or OPRE 6305) and (OPRE 6359 or BUAN 6359),"BUAN 6357,MIS 6357","business analytics, business intelligence, data manipulation, data imputation, variable selection, advanced analytic methods, business data analytics, predictive modeling, customer analytics, web intelligence analytics, business performance analytics, decision-making analytics, r programming, hands-on business analytics, data-driven decision making"
BUAN 6383,Modeling for Business Analytics,3,Elective,"This is a fast-paced course that starts with an introduction of popular approaches in business analytics (e.g., preprocessing, dimensionality reduction, association rules, clustering, basics of classification), proceeds into advanced
methods (e.g., additional classification models, ensemble methods), and concludes with advanced models in customer
analytics (e.g., discrete time models, continuous time models, count models, choice models, zero-inflated models,
finite mixture models, models for non-contractual settings). While the tool of choice will be Python, the focus of the
course will be on modeling (i.e., this is not a course intended to teach you Python) – familiarity with Python is
assumed.",BUAN 6359 or OPRE 6359.,(MIS 6334 or OPRE 6334 or BUAN 6357 or MIS 6357) and (BUAN 6383 or MIS 6386),"business analytics, data preprocessing, dimensionality reduction, association rules, clustering, classification models, ensemble methods, customer analytics, discrete time models, continuous time models, count models, choice models, zero-inflated models, finite mixture models, non-contractual customer models, predictive modeling, advanced modeling techniques, python programming"
BUAN 6382,Applied Deep Learning,3,Elective,"Covers fundamentals of Deep Learning applied to business data. Includes various neural network architectures such as Feedforward Artificial Neural Networks, Convolutional Neural Networks, and Transformer Models for Computer Vision in different business scenarios. ", BUAN 6341 or MIS 6341 or OPRE 6343,,"deep learning, applied deep learning, neural networks, feedforward neural networks, convolutional neural networks, transformer models, computer vision, business data analytics, predictive modeling, business applications of ai, deep learning architectures"
BUAN 6392,Causal Analytics and A/B Testing ,3,Elective,"All managers need to make decisions to achieve specific objectives. For example, a firm like Spotify wants to grow its customer base (it's objective). It intends to send promotional emails to
potential subscribers to achieve its goal. So, it must decide what design of promotional email messages would help it get the maximum number of new subscribers. This is a cause and effect
question because the design of the email message (cause) induces a person receiving the email to purchase the subscription (effect). Common sense dictates that Spotify can analyze email
designs used in the past to ascertain the most effective email design. Unfortunately, this common-sense approach is wrong! This is because email designs that are correlated with high
subscription rates may not be better. To identify the best email design, Spotify must make a distinction between correlation and causation in data. The gold standard in making this
distinction is a randomized control trial (aka, an A/B Test). Organizations and policymakers in government constantly grapple with such causal questions.
For example, firms want to know how does a price change affect the sales of a product, or how to create websites that increase consumer engagement and lead generation; political parties
want to know what messaging on social media sites can boost their political influence, and governments want to know whether allowing parents to pay for private schools using publicly
funded vouchers make the education system more effective. In particular, firms rooted in the digital economy like Netflix, Airbnb, eBay, Groupon,
Booking.com, Uber and Amazon, etc. make extensive and continuous use of A/B tests and have a dedicated team of data scientists and IT-personnel to implement, monitor and analyze such
tests. Banks and Insurance companies constitute another important sector where the use of A/B testing is ubiquitous.
While A/B tests are the best way to answer causal questions, sometimes they are too expensive, too time taking, or even unethical to implement. In such situations, the only recourse for data
scientists is to use observational data to tease out the causal effects of an intervention. Therefore, the course will focus on the design and analysis of A/B tests and also on statistical
techniques that can be used with observational data to achieve reliable causal inferences. We will employ a combination of lectures, cases, and other assignments to discuss the course
material. The approach is hands-on, exposing students to simulated and real-world datasets, and equipping them with the tools and experience they can leverage immediately on the job.", OPRE 6301 or OPRE 6359 or BUAN 6359,"BUAN 6392, MIS 6392","causal analytics, a/b testing, correlation vs causation, experimental design, statistical analysis, observational data analysis, causal inference, marketing analytics, promotional effectiveness analysis, data-driven decision making, practical data analysis, real-world dataset analysis"
MIS 6380,Data Visualization,3,Elective,"Studies the technologies, techniques and algorithms for the creation of effective data visualization in the context of data science. Explores topics related to data wrangling, insight modeling, cognitive science, and graphical communication. Develops practical skills using data visualization tools including SAP Lumira, Tableau, Excel Powerview, and D3. Primary objective will be creation of data visualizations for strategic communication.",None,,"data visualization, data science visualization, data wrangling, insight modeling, cognitive science for visualization, graphical communication, strategic data communication, sap lumira, tableau, excel powerview, d3.js, data storytelling, visualization design techniques"
HMGT 6320 ,The American Healthcare System,3,Elective,"This course is centered on understanding how the American healthcare system works from the ground up. It is designed for students who either plan to build a career in healthcare management or simply want to become more informed about the system they interact with as patients and citizens.
The course starts by tracing the historical development of healthcare in the United States, how the system evolved over time, what forces shaped it, and why it looks the way it does today. From there, it moves into the structural side of healthcare, examining the different types of settings where care is delivered, such as hospitals, outpatient facilities, and community health organizations, as well as the wide range of professionals who make up the healthcare workforce.

A significant portion of the course is dedicated to how healthcare is financed. Students will explore how money flows through the system, from insurance models and managed care to accountable care organizations and pay-for-performance structures, and how financial decisions affect the quality and accessibility of care. Students will also examine the relationship between cost and measurable outcomes, which is one of the central tensions in American healthcare policy.

The course also dives into health policy and regulation, looking at how laws get made, how public sector policymakers implement change, and how advocacy and organized efforts influence the direction of the system. Alongside this, students will engage with the major ethical, legal, and equity-related issues that providers, insurers, and policymakers navigate on a daily basis, including social drivers of health and population health management.

Finally, the course looks forward, covering emerging areas like health information technology, cybersecurity, artificial intelligence in clinical and administrative settings, and interoperability between health systems. Guest speakers from the industry are brought in throughout the semester to ground these topics in real, current practice.

The course is highly interactive, built around discussions, team-based case presentations, and written briefings, ensuring that students do not just learn the content but can also analyze, communicate, and apply it in a professional context.",None,,"Healthcare System Navigation, Health Policy Analysis, Financial Management in Healthcare, Regulatory & Legal Compliance, Ethical Decision-Making, Data Analysis & Outcome Measurement, Critical Thinking & Problem Solving, Medical Terminology,  Emerging Technology Evaluation (AI, Health IT, Cybersecurity), Research & Information Synthesis, Written Communication (Briefing Papers), Oral Presentation & Public Speaking, Team Collaboration & Project Management, Peer Evaluation & Feedback, Stakeholder Communication, Healthcare Workforce & Operations Knowledge, Population Health Management, Strategic Decision-Making"
HMGT 6323 ,Healthcare Informatics,3,Elective,"This course sits at the intersection of healthcare and technology, exploring how digital information systems are designed, implemented, and used to transform raw clinical and administrative data into meaningful knowledge that drives better decisions. At its foundation, the course is about understanding how technology can make healthcare smarter — reducing medical errors, cutting unnecessary costs, and ultimately improving patient outcomes.
The course begins by establishing a clear picture of the healthcare IT landscape today — where it came from, how it has evolved, and what the major systems and architectures look like in practice. Students will learn how data flows through a healthcare organization, from the moment a patient walks in the door to the billing, reporting, and compliance processes that follow. This includes a deep look at Electronic Medical Records (EMRs) and Electronic Health Records (EHRs), which are the backbone of modern clinical information management, as well as the major legislation that has shaped how these systems are built and adopted across the industry.
A significant portion of the course focuses on the challenge of making different healthcare systems talk to each other — known as interoperability — and the data standards that make that possible. Students will examine how healthcare organizations build and manage their information architectures, how databases are structured and queried, and how data integration works across complex, multi-system environments.
The course also covers the business and strategic side of health IT, including how organizations evaluate, acquire, and govern technology investments, how to calculate the total cost of ownership of a system, and how IT planning aligns with broader organizational strategy. Students will work through real-world frameworks for making technology decisions in resource-constrained healthcare environments.
Analytics and artificial intelligence represent another major thread running through the course. Students will explore how big data and AI are being applied in clinical and administrative healthcare settings, what the real-world challenges of implementing these tools look like, and how to think critically about whether an AI solution is actually creating value. Emerging technologies including telehealth, cloud computing, and ubiquitous connectivity are also covered, giving students a forward-looking perspective on where the field is heading.
Throughout the course, students work with real case studies and practical assignments, ensuring that the concepts covered are grounded in actual healthcare industry problems rather than theory alone.",None,"HMGT 6323, MIS 6317","Health IT Systems Knowledge, Electronic Medical Records (EMR/EHR) Management, Healthcare Data Architecture & Integration, Database Management & SQL, Interoperability & Data Standards, Healthcare Analytics, Artificial Intelligence, Applications in Healthcare, IT Governance & Project Management, Strategic IT, Planning & Alignment, Health IT Legislation & Regulatory Compliance, Privacy & Cybersecurity in Healthcare, Technology Investment Evaluation, Critical Thinking & Evidence-Based Decision Making, Data Transformation & Information Architecture Design, Population Health & Reimbursement Reform Understanding, Case Analysis & Problem Solving, Team Collaboration, Written & Oral Communication
"
HMGT 6325 ,Healthcare Operations Management ,3,Elective,"This course is about understanding and improving the processes that make healthcare organizations run efficiently. At its core, it asks a fundamental question — how do you take limited resources, whether that is staff, equipment, time, or supplies, and organize them in a way that delivers the best possible care to the most people, at the lowest cost, with the shortest wait? These are not abstract questions. They are the daily challenges faced by hospital administrators, clinic managers, and healthcare executives, and this course gives students the analytical toolkit to tackle them head-on.
The course begins with process flow analysis, which is the foundation of operations management. Students learn how to map out how patients, information, and resources move through a healthcare system, identify where bottlenecks occur, and calculate how those bottlenecks affect capacity, wait times, and overall efficiency. From there, the course moves into project management, teaching students how to plan and execute complex healthcare initiatives on time and within budget, accounting for uncertainty along the way.
Inventory management is another major topic, covering how healthcare organizations decide how much of a supply to keep on hand, when to reorder, and how to balance the cost of holding inventory against the risk of running out. Closely related is queueing theory, which gives students a mathematical framework for understanding why waiting lines form in healthcare settings and what can be done to reduce them — a directly applicable skill in emergency departments, clinics, and surgical scheduling.
The course then introduces linear programming, a powerful optimization technique that helps managers make the best possible decision when facing multiple competing constraints, such as budget limits, staffing caps, and patient demand. Students use Excel Solver to apply these methods to real healthcare scenarios. The course also covers healthcare analytics through regression modeling, quality control methods for monitoring and improving process performance, and supply chain management principles including how the healthcare supply chain behaves and how disruptions like the bullwhip effect can ripple through the system.
Throughout the semester, students apply these techniques to a real-world group project, conducting original analysis on an actual healthcare issue and presenting their findings to stakeholders — mirroring exactly what is expected of operations analysts and managers in the field.",None,"HMGT 6325, OPRE 6325","Process Flow Analysis & Bottleneck Identification, Capacity Planning & Resource Optimization, Project Management & Scheduling, Inventory Management & Supply Chain Analysis, Queueing Theory & Wait Time Reduction, Linear Programming & Optimization, Healthcare Analytics & Regression Modeling, Quality Control & Performance Measurement, Excel & Solver Application, Data-Driven Decision Making, Operations Strategy & Process Improvement, Supply Chain Management, Outcome Measurement & Management, Critical Thinking & Quantitative Problem Solving, Team Collaboration & Group Project Management, Written & Oral Communication, Stakeholder Presentation & Reporting, Healthcare Policy & Operations Context"
HMGT 6327  ,Electronic Health Records Applications,3,Elective,"This course is unlike most traditional graduate courses — it is built around doing, not just learning. Rather than studying electronic health records from a purely theoretical standpoint, students get direct, hands-on access to EPIC, the most widely used electronic medical record system in the United States, and work through real clinical and administrative scenarios inside the software itself. This makes the course one of the most practically valuable in the healthcare management program, because students graduate with direct experience in the exact tools they will encounter on the job.
The course begins by establishing a foundational understanding of what an EMR and EHR actually are, how they differ, and why they matter to every stakeholder in the healthcare system — from physicians and nurses to administrators, billing staff, and IT managers. From there, students dive into workflow analysis, learning how to map, evaluate, and improve the processes that govern how patients move through a healthcare system and how information flows alongside them. This is a critical skill because poorly designed workflows are one of the leading causes of inefficiency, errors, and frustration in clinical settings.
A large portion of the course is dedicated to exploring the major functional areas of EPIC, guided by staff from UT Southwestern Medical Center. Students work hands-on through patient registration and scheduling, ambulatory and outpatient care workflows, inpatient care workflows for both providers and nurses, revenue cycle management and billing, specialty and ancillary modules, and clinical decision support and reporting tools. Each of these areas represents a core operational domain in any major healthcare organization, and understanding how they connect within a single integrated system is what separates effective healthcare IT professionals from those who only understand one piece of the puzzle.
The course also addresses the broader strategic and regulatory landscape surrounding EHR systems. Students examine the regulatory and market-driven pressures that shape how EHRs are adopted and used, the challenges of integrating EHR systems with other enterprise platforms, and what it takes to implement, upgrade, and sustain a large-scale clinical information system over time. The course closes with a forward-looking discussion of emerging trends — including accountable care organizations, telemedicine, and the future direction of health IT — giving students a complete picture of where the field is heading.",HMGT 6323,"HMGT 6327, MIS 6381","EPIC EMR Software Proficiency, Electronic Health Record (EHR) Operations & Workflow, Clinical Workflow Analysis & Mapping, Patient Registration & Scheduling Systems, Ambulatory & Inpatient Care Workflow Management, Revenue Cycle & Billing Operations, Clinical Decision Support & Reporting, Data & System Integration, EHR Implementation & Lifecycle Management, Healthcare IT Architecture & Interoperability, Regulatory & Compliance Knowledge in Health IT, Telemedicine & Emerging Technology Awareness, Critical Thinking & Organizational Problem Solving, Hands-On Lab-Based Technical Skills, Written & Oral Communication, Class Participation & Professional Engagement"
HMGT 6334 ,Healthcare Analytics ,3,Elective,"This course is designed for students who want to understand how data and analytics can be used to solve some of the most pressing problems in healthcare — rising costs, inefficient resource allocation, uneven care quality, and missed opportunities to use existing data more effectively. It sits at the intersection of healthcare management and data science, giving students both the conceptual framework to think analytically about healthcare problems and the hands-on technical skills to actually build and implement analytics solutions.
The course begins by introducing the broader landscape of analytics — what it is, how it is applied across industries, and why healthcare in particular has so much untapped potential for data-driven improvement. From there, students are introduced to R and RStudio, the primary tools used throughout the course, learning how to navigate the software, retrieve and prepare data, and perform foundational analytical functions. No prior programming experience is assumed, and the course builds these skills progressively from the ground up.
A significant portion of the course is dedicated to statistical and predictive modeling techniques. Students learn exploratory data analysis, simple and multiple regression, classification methods including decision trees and logistic regression, and clustering techniques such as hierarchical and k-means clustering. All of these methods are taught in the context of real healthcare problems, so students are always connecting the technical work back to meaningful business and clinical questions — such as predicting patient outcomes, segmenting populations for targeted interventions, or identifying inefficiencies in care delivery.
Data visualization and communication is another key focus. Students learn how to present analytical findings in ways that are clear, compelling, and actionable for decision makers — a skill that is just as important as the analysis itself in professional settings. The course covers effective dashboard design and data storytelling, ensuring students can bridge the gap between complex analysis and practical organizational decision making.
The course culminates in a group project where students select a real healthcare analytics problem, source and analyze data, and present their findings to the class — simulating exactly the kind of work expected of analytics professionals in hospitals, insurance companies, consulting firms, and health IT organizations.",OPRE 6301 or SYSM 6303 or BUAN 6359 or OPRE 6359. ,"HMGT 6334, MIS 6305","Healthcare Data Analytics, R & RStudio Programming, Exploratory Data Analysis (EDA), Simple & Multiple Regression Analysis, Classification Modeling & Decision Trees, Logistic Regression, Clustering & Segmentation Techniques, Machine Learning Foundations, Data Visualization & Dashboard Design, Data Storytelling & Communication, Data Retrieval & Preparation, Predictive Modeling, Business Intelligence in Healthcare, Critical Thinking & Evidence-Based Decision Making, Healthcare Delivery & Policy Context, Project Design & Management, Team Collaboration & Peer Evaluation, Written & Oral Presentation Skills"
BUAN 6335 ,Organizing for Business Analytics Platforms ,3,Elective,"This course is built around one of the most important and often overlooked questions in modern business analytics — it is not just about knowing how to analyze data, but understanding how organizations build, manage, and scale the platforms and teams that make analytics possible in the first place. While many analytics courses focus on the technical side of modeling and statistics, this course takes a broader, more strategic view, examining how enterprises actually organize themselves around data and what it takes to turn raw data into a sustained competitive advantage.
The course begins by establishing why data transformation has become a critical priority for modern organizations. Students explore the full data lifecycle — how data is generated, ingested, stored, processed, and ultimately used to drive decisions — and examine the distinct but interconnected roles of data analytics, data engineering, data operations, data science, and artificial intelligence within an enterprise. This gives students a holistic vocabulary and mental model for understanding how all the pieces of a modern data organization fit together.
From there, the course dives into the technical architecture side of analytics platforms. Students explore modern big data architectures including data lakes, lakehouses, and cloud-native platforms, with a particular focus on Microsoft Azure and Snowflake as leading industry tools. Through hands-on labs, students get direct experience working with these platforms — ingesting data, managing storage layers, optimizing performance, and understanding how cloud infrastructure supports large-scale analytics. The course also covers data quality, data lineage, data wrangling, and real-time streaming data, ensuring students understand not just how to build analytics solutions but how to keep them reliable and trustworthy over time.
A significant thread running through the course is the business case for analytics. Students examine how decision-makers in key functional areas rely on data teams, how to identify and frame analytics opportunities, and how to develop and present strategic business cases for data initiatives. This is reinforced through a series of Harvard Business Review case studies drawn from real companies — including Airbnb and others — where students debate and analyze how organizations have navigated complex data challenges and turned them into business opportunities.
The course also covers machine learning and generative AI foundations, exploring why high-quality data is the prerequisite for any successful ML project, and introducing core concepts in natural language processing and computer vision. Data governance, privacy, and security in the age of AI round out the curriculum, ensuring students understand the ethical and regulatory responsibilities that come with managing data at scale.",None,"BUAN 6335, SYSM 6335","Cloud Data Platform Knowledge (Azure & Snowflake), Data Architecture & Modern Big Data Patterns, Data Ingestion & Pipeline Management, Data Storage & Retrieval Optimization, Data Quality & Lineage Management, Data Wrangling & Transformation, Real-Time & Streaming Data Processing, Machine Learning Foundations & AI Concepts, Natural Language Processing & Computer Vision Awareness, Data Governance, Privacy & Security, Business Case Development for Analytics Initiatives, Strategic Analytics Planning & Platform Adoption, Case Study Analysis & Business Problem Solving, Data Engineering & DataOps Understanding, Cloud Computing Fundamentals, Critical Thinking & Decision Making, Team Collaboration & Group Project Management, Written & Oral Presentation Skills"
BUAN 6392 ,Causal Analytics and A/B Testing ,3,Elective,"This course tackles one of the most fundamental and consequential challenges in data-driven decision making — the difference between correlation and causation. It is a distinction that sounds simple but is routinely misunderstood, and getting it wrong leads organizations to make confident decisions based on misleading data. This course gives students the theoretical grounding and practical tools to get it right.
The course opens by building a deep appreciation for why observational data alone is almost never sufficient to answer causal questions. When a company sees that customers who received a certain email design subscribed at higher rates, does that mean the email design caused the increase? Not necessarily — and this course explains precisely why not, and what to do instead. The answer, in most cases, is a well-designed experiment, and the gold standard for that is the randomized controlled trial, more commonly known in business settings as an A/B test.
Students learn the full lifecycle of A/B testing — from understanding the statistical foundations of hypothesis testing and confidence intervals, to designing experiments that are properly powered and free from common pitfalls, to analyzing results using regression analysis and selecting the right outcome metrics. The course also addresses more advanced design challenges such as interference between test and control groups, intention-to-treat effects, and issues of compliance, all of which are real problems that arise when running experiments in messy, real-world environments.
A major strength of the course is its honest acknowledgment that A/B tests are not always possible. They can be too costly, too slow, or ethically off-limits. For these situations, the course introduces a powerful set of observational methods for causal inference — including fixed effects models, difference-in-difference analysis, propensity score matching, natural experiments, and quasi-experiments. These are the tools that data scientists at major firms use when they cannot run a controlled experiment but still need to draw reliable causal conclusions from data.
The course is deeply hands-on. Students use R and RStudio throughout, working with real and simulated datasets to apply everything they learn. A live simulation tournament toward the end of the semester puts students in the role of decision makers running an actual experimental platform, making real-time choices and competing against their peers — making it one of the most experiential components of any analytics course in the program.",OPRE 6301 or OPRE 6359 or BUAN 6359. ,"BUAN 6392, MIS 6392","A/B Test Design & Implementation, Causal Inference & Causal Reasoning, Hypothesis Testing & Statistical Significance, Confidence Interval Estimation, Regression Analysis for Causal Questions, Power Analysis & Sample Size Determination, Difference-in-Difference Analysis, Fixed Effects Modeling, Propensity Score Matching, Quasi-Experimental Methods & Natural Experiments, Observational Data Analysis, Outcome Metric Selection & Evaluation, R & RStudio for Statistical Analysis, Experimental Platform Management, Business Decision Making with Data, Critical Thinking & Analytical Problem Solving, Team Collaboration & Group Assignment Management, Written & Oral Communication"
